"","learn","x","agelfted","sex","datyear"
"1691",9.209832235084,58,15,"male",84
"1693",9.71165859959144,54,23,"male",84
"1704",9.043888973204,55,15,"male",84
"1707",7.49538635995011,36,14,"female",84
"1708",8.98715684183549,48,21,"male",84
"1712",7.39709573479739,65,16,"female",84
"1713",7.50659178007084,35,14,"male",84
"1719",9.06280977200112,64,28,"male",84
"1724",9.45490717294298,57,22,"male",84
"1729",8.67756898619676,52,15,"male",84
"1730",6.43615036836943,51,14,"female",84
"1733",8.46298199276783,57,15,"male",84
"1737",9.08055052015711,52,15,"male",84
"1748",9.65502619323763,63,16,"male",84
"1749",8.93485034028976,59,15,"male",84
"1751",8.81877816903701,53,15,"male",84
"1752",7.83280751652486,56,15,"female",84
"1758",8.98168163997386,53,16,"male",84
"1759",10.3891873570983,62,21,"male",84
"1768",7.21471044833073,50,15,"female",84
"1770",8.81113364222988,54,22,"male",84
"1771",9.39884282019672,54,14,"male",84
"1772",9.3389903630865,62,16,"female",84
"1775",9.17822618349111,61,17,"female",84
"1778",8.51767305673121,62,15,"male",84
"1781",8.9770959908135,57,16,"female",84
"1791",9.30957377625903,44,14,"male",84
"1792",8.6773918677307,64,16,"female",84
"1803",9.62077974155281,43,16,"male",84
"1809",7.43032763021423,63,17,"female",84
"1815",8.6714375610509,62,15,"male",84
"1817",9.10493981645427,61,15,"male",84
"1818",7.3185395485679,65,15,"female",84
"1819",7.96726630048801,54,15,"female",84
"1824",8.82842381048851,39,14,"male",84
"1828",8.56636423542269,46,16,"male",84
"1832",8.927977461002,46,14,"male",84
"1848",4.77541914095562,65,16,"female",84
"1861",7.78314069987704,60,15,"male",84
"1864",8.21406443606484,41,15,"male",84
"1865",7.75790620835175,40,15,"female",84
"1866",8.64534013094603,36,19,"male",84
"1867",7.92210153097887,39,14,"female",84
"1872",9.11213637043385,59,16,"male",84
"1873",7.01556875291468,61,15,"female",84
"1878",8.88305219961918,61,15,"female",84
"1883",8.94473284110616,47,15,"male",84
"1886",7.08977680297778,40,14,"male",84
"1887",6.65929391968364,42,14,"female",84
"1889",8.71844774516417,59,17,"female",84
"1896",8.79432786735545,62,15,"male",84
"1897",3.45694737511956,63,15,"female",84
"1900",8.29893769846982,58,15,"female",84
"1901",9.30561051191642,48,16,"male",84
"1902",8.03990551970295,52,15,"female",84
"1904",9.28367260386809,47,15,"male",84
"1905",8.85436802713903,41,15,"female",84
"1906",9.20482519128807,44,16,"male",84
"1907",8.56952756966444,42,16,"female",84
"1911",9.10493981645427,64,23,"male",84
"1915",9.31103243900625,43,14,"male",84
